model,model_category,accuracy,balanced_acc,precision,recall,f1,mcc,specificity,auroc,auprc,ece,discrimination,type_acc_object,type_acc_attribute,type_acc_relational,type_acc_macro,type_n_total_object,type_n_scored_object,type_n_total_attribute,type_n_scored_attribute,type_n_total_relational,type_n_scored_relational,hallu_score,hs_equal,hs_calib_heavy,hs_type_heavy,auroc_ci_lo,auroc_ci_hi,f1_ci_lo,f1_ci_hi,mcc_ci_lo,mcc_ci_hi,n_unknown,parse_rate,TP,FP,TN,FN
qwen25_vl,vlm,0.4732,0.5025,0.4718,0.9992,0.641,0.0424,0.0057,0.5127,0.4771,0.352737,0.578,1.0,1.0,0.9976,0.9992,1325,1325,1341,1341,1237,1237,0.683,0.7417,0.6969,0.7603,0.5024,0.5226,0.6319,0.651,0.0258,0.0564,0,1.0,3900,4366,25,3
medgemma,vlm,0.6983,0.6919,0.7226,0.5826,0.6451,0.3948,0.8012,0.7001,0.6479,0.249409,0.6707,0.794,0.6391,0.2951,0.5761,1325,1325,1341,1341,1237,1237,0.6758,0.6657,0.6917,0.6489,0.6901,0.7099,0.6318,0.6578,0.3752,0.4149,0,1.0,2274,873,3518,1629
llava15,vlm,0.4706,0.5,0.4706,1.0,0.64,0.0,0.0,0.5525,0.5035,0.391635,0.5657,1.0,1.0,1.0,1.0,1325,1325,1341,1341,1237,1237,0.6654,0.725,0.6739,0.7479,0.5416,0.5639,0.6309,0.6501,0.0,0.0,0,1.0,3903,4391,0,0
phi3_vision,vlm,0.4707,0.5001,0.4706,1.0,0.64,0.0104,0.0002,0.5047,0.4727,0.413688,0.5686,1.0,1.0,1.0,1.0,1325,1325,1341,1341,1237,1237,0.6602,0.7186,0.6637,0.7447,0.4956,0.5143,0.631,0.6501,0.0,0.0181,0,1.0,3903,4390,1,0
chexagent,vlm,0.4775,0.5053,0.4733,0.979,0.6381,0.033,0.0317,0.4963,0.4524,0.279106,0.5741,0.9796,0.9754,0.9822,0.9791,1325,1325,1341,1341,1237,1237,0.6991,0.7582,0.7285,0.7655,0.4836,0.5092,0.6288,0.6489,0.0119,0.0548,0,1.0,3821,4252,139,82
biovil_t,vlm,0.5292,0.5,0.0,0.0,0.0,0.0,1.0,0.4894,0.4651,0.166076,0.0,0.0,0.0,0.0,0.0,1324,1324,1335,1335,1229,1229,0.2502,0.2777,0.417,0.1668,0.4769,0.5018,0.0,0.0,0.0,0.0,0,1.0,0,0,4371,3888
biomedclip,vlm,0.5135,0.4858,0.236,0.0151,0.0284,-0.0829,0.9565,0.5356,0.4788,0.015819,0.1141,0.0211,0.0172,0.0065,0.0149,1325,1325,1341,1341,1237,1237,0.3553,0.3707,0.5293,0.2485,0.524,0.5478,0.0216,0.0352,-0.1009,-0.0615,0,1.0,59,191,4200,3844
blip2,vlm,0.4996,0.4905,0.4569,0.3356,0.387,-0.0199,0.6454,0.4857,0.4434,0.038467,0.4355,0.3517,0.3229,0.3323,0.3356,1325,1325,1341,1341,1237,1237,0.5733,0.5773,0.6785,0.5007,0.4735,0.497,0.3724,0.4005,-0.0413,0.0015,0,1.0,1310,1557,2834,2593
constant_faithful,baseline,0.5294,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.4706,0.470581,0.0,0.0,0.0,0.0,0.0,1325,1325,1341,1341,1237,1237,0.1588,0.1763,0.2647,0.1059,0.5,0.5,0.0,0.0,0.0,0.0,0,1.0,0,0,4391,3903
random,baseline,0.5035,0.5037,0.4743,0.5073,0.4902,0.0074,0.5001,0.5025,0.4758,0.245005,0.4969,0.5192,0.4907,0.5125,0.5075,1325,1325,1341,1341,1237,1237,0.5765,0.5864,0.6281,0.5528,0.4906,0.514,0.4776,0.5037,-0.0126,0.0276,0,1.0,1980,2195,2196,1923
text_only_baseline,baseline,0.5312,0.5388,0.5014,0.6672,0.5726,0.08,0.4104,0.5543,0.5025,0.112033,0.556,0.6302,0.7166,0.6532,0.6667,1325,1325,1341,1341,1237,1237,0.6778,0.7035,0.7441,0.6667,0.5414,0.5664,0.5604,0.5843,0.059,0.1015,0,1.0,2604,2589,1802,1299
shuffled_image_baseline_qwen25_vl,baseline,0.472,0.5013,0.4712,0.9987,0.6403,0.0251,0.0039,0.5094,0.4754,0.355348,0.5729,1.0,0.9993,0.9968,0.9987,1325,1325,1341,1341,1237,1237,0.6796,0.739,0.6939,0.7576,0.4996,0.52,0.6309,0.6504,0.0053,0.0415,0,1.0,3898,4374,17,5
shuffled_image_baseline_medgemma,baseline,0.6816,0.6789,0.6717,0.6326,0.6515,0.3594,0.7251,0.6941,0.6368,0.228388,0.6655,0.8249,0.6928,0.3614,0.6264,1325,1325,1341,1341,1237,1237,0.6895,0.6878,0.7107,0.6711,0.6844,0.7046,0.6395,0.6634,0.3403,0.3801,0,1.0,2469,1207,3184,1434
