recall,specificity_fixed_at,f1,mcc,discrimination_original,discrimination_mcc_gated
0.5,0.03,0.386,-0.5407,0.2977,0.0
0.52,0.03,0.3984,-0.5244,0.3078,0.0
0.54,0.03,0.4105,-0.508,0.3178,0.0
0.56,0.03,0.4225,-0.4915,0.3277,0.0
0.58,0.03,0.4343,-0.4749,0.3377,0.0
0.6,0.03,0.4459,-0.4581,0.3476,0.0
0.62,0.03,0.4574,-0.441,0.3575,0.0
0.64,0.03,0.4687,-0.4238,0.3675,0.0
0.66,0.03,0.4798,-0.4063,0.3774,0.0
0.68,0.03,0.4908,-0.3885,0.3874,0.0
0.7,0.03,0.5016,-0.3703,0.3974,0.0
0.72,0.03,0.5122,-0.3517,0.4075,0.0
0.74,0.03,0.5227,-0.3325,0.4177,0.0
0.76,0.03,0.5331,-0.3128,0.428,0.0
0.78,0.03,0.5433,-0.2924,0.4384,0.0
0.8,0.03,0.5533,-0.2712,0.4491,0.0
0.82,0.03,0.5633,-0.2489,0.4599,0.0
0.84,0.03,0.5732,-0.2251,0.4713,0.0
0.86,0.03,0.5829,-0.2001,0.4828,0.0
0.88,0.03,0.5924,-0.1731,0.4949,0.0
0.9,0.03,0.6018,-0.1436,0.5076,0.0
0.92,0.03,0.6111,-0.1106,0.5213,0.0
0.94,0.03,0.6202,-0.0726,0.5363,0.0
0.96,0.03,0.6293,-0.027,0.5533,0.0
0.98,0.03,0.6382,0.032,0.5739,0.0
1.0,0.03,0.647,0.1199,0.6019,0.6019
