model,source,n,accuracy,balanced_acc,f1,mcc,auroc
medgemma,openi,3794,0.669,0.6681,0.6523,0.3364,0.6881
medgemma,mimiccxr,4500,0.7231,0.7096,0.6376,0.4559,0.7089
qwen25_vl,openi,3794,0.4826,0.5032,0.649,0.0456,0.5156
qwen25_vl,mimiccxr,4500,0.4653,0.5019,0.6341,0.0416,0.5092
chexagent,openi,3794,0.4871,0.5073,0.6495,0.0582,0.5213
chexagent,mimiccxr,4500,0.4693,0.5034,0.6283,0.0182,0.4758
llava15,openi,3794,0.4792,0.5,0.6479,0.0,0.5555
llava15,mimiccxr,4500,0.4633,0.5,0.6333,0.0,0.5506
phi3_vision,openi,3794,0.4794,0.5003,0.648,0.0156,0.5178
phi3_vision,mimiccxr,4500,0.4633,0.5,0.6333,0.0,0.4917
biovil_t,openi,3759,0.5204,0.5,0.0,0.0,0.4778
biovil_t,mimiccxr,4500,0.5367,0.5,0.0,0.0,0.4985
biomedclip,openi,3794,0.52,0.4999,0.0319,-0.0008,0.5729
biomedclip,mimiccxr,4500,0.508,0.4742,0.0255,-0.1287,0.5074
blip2,openi,3794,0.5203,0.5187,0.4893,0.0374,0.5129
blip2,mimiccxr,4500,0.4822,0.4636,0.2732,-0.0839,0.4758
